Carcass ID,Ribeye,FatThickness
1273,15.7,0.88
1274,16.4,0.76
1275,13.2,0.88
1276,16.7,0.92
1277,17.4,0.68
1278,14,0.8
1279,13.7,1
1297,12.6,1.4
1303,13.4,0.36
1311,13.1,0.68
1318,13.8,0.44
1325,13.8,1.2
1330,13.2,0.48
1338,14.5,0.68
1339,12.6,0.64
1343,15.4,0.6
1347,16.3,0.72
1351,16.5,0.64
1352,13.2,0.88
1354,14.1,0.72
1355,15.2,0.64
1359,15.2,0.84
1362,14.9,0.84
1364,14.6,0.36
1369,12.1,0.56
1384,14,1.28
1400,13.2,0.52
1414,14.5,0.48
1418,14.8,0.32
1421,17.6,0.24
1427,14,0.52
1428,16.3,0.2
1429,13.4,0.48
1431,16.6,0.36
1432,13,0.28
1435,14,0.4
1443,18.4,0.28
1444,15.4,0.4
1445,14.2,0.48
1446,13.5,0.44
